title,description_en,description_sq,city,address,latitude,longitude,category
Newborn Monument,A typographic monument unveiled on Kosovo independence day in 2008 and repainted each year by local artists.,Monument tipografik i prezantuar ne diten e pavaresise se Kosoves ne 2008 dhe lyhet cdo vit nga artiste vendore.,Pristina,Sheshi Adem Jashari,42.6629,21.1655,Cultural
Mother Teresa Cathedral,A Catholic cathedral consecrated in 2017 honoring the Albanian-born saint Mother Teresa.,Katedrale katolike e shenjteruar ne 2017 ne nder te shenjtores Nene Tereza me prejardhje shqiptare.,Pristina,Rruga Bill Klinton,42.6620,21.1583,Cultural
National Library of Kosovo,A brutalist library covered in 99 domes and a metal lattice designed by architect Andrija Mutnjakovic.,Biblioteke ne stil brutalist e mbuluar me 99 kupola dhe nje rrjete metalike e dizajnuar nga arkitekti Andrija Mutnjakoviq.,Pristina,Sheshi Hasan Prishtina,42.6498,21.1633,Cultural
Sultan Mehmet Fatih Mosque,A 15th century Ottoman imperial mosque founded shortly after the conquest of Kosovo.,Xhami osmane perandorake e shekullit XV e themeluar pak pas pushtimit te Kosoves.,Pristina,Rruga Mbreteresha Teute,42.6624,21.1659,Historical
Emin Gjiku Ethnographic Museum,A traditional Ottoman-era residential complex housing Kosovo ethnographic collections.,Kompleks tradicional banimi nga epoka osmane qe strehon koleksionet etnografike te Kosoves.,Pristina,Rruga Iliaz Agushi,42.6643,21.1646,Cultural
Sinan Pasha Mosque,A 17th century Ottoman mosque dominating the riverfront of the old town.,Xhami osmane e shekullit XVII qe dominon brigjet e qytetit te vjeter.,Prizren,Sheshi Shadervan,42.2138,20.7411,Historical
Prizren Fortress,A medieval Byzantine and Ottoman hilltop fortress overlooking the city of Prizren.,Fortifikate mesjetare bizantine dhe osmane mbi qytetin e Prizrenit.,Prizren,Kalaja e Prizrenit,42.2125,20.7475,Historical
Stone Bridge of Prizren,A 16th century Ottoman stone bridge over the Lumbardhi river rebuilt after the 1979 flood.,Ure guri osmane e shekullit XVI mbi Lumbardhin e rindertuar pas permbytjes se vitit 1979.,Prizren,Lumbardhi i Prizrenit,42.2147,20.7415,Historical
Our Lady of Ljevisha,A 14th century Serbian Orthodox church and UNESCO World Heritage Site with frescoes from the Palaiologos era.,Kishe ortodokse serbe e shekullit XIV pjese e trashegimise UNESCO me afreske nga epoka Paleologe.,Prizren,Rruga Mejdani,42.2151,20.7416,Historical
League of Prizren Complex,The 1878 birthplace of the Albanian national movement now restored as a museum.,Vendlindja e Lidhjes Shqiptare ne 1878 e ristrukturuar sot si muze.,Prizren,Rruga e Lidhjes se Prizrenit,42.2143,20.7421,Historical
Patriarchate of Pec,A medieval Serbian Orthodox monastery complex and UNESCO World Heritage Site at the mouth of the Rugova canyon.,Kompleks mesjetar i manastirit ortodoks serb dhe pjese e UNESCO ne hyrje te Kanionit te Rugoves.,Peja,Hyrja e Lugines se Rugoves,42.6608,20.2657,Historical
Rugova Canyon,A dramatic 25 kilometer limestone canyon with hiking trails and via ferrata routes near Peja.,Kanion gelqeror dramatik 25 kilometra i gjate me shtigje per hiking dhe rruge via ferrata afer Pejes.,Peja,Lugina e Rugoves,42.6850,20.1700,Natural
Old Bazaar of Peja,A reconstructed Ottoman-era market quarter in the heart of Peja with traditional craft shops.,Lagje tregu nga epoka osmane e rindertuar ne zemer te Pejes me dyqane te zejeve tradicionale.,Peja,Carshia e Vjeter e Pejes,42.6608,20.2873,Cultural
Marash Park,A green park where the Lumbardhi river enters Peja from the Rugova canyon.,Park i blerte ku Lumbardhi futet ne Peje nga Kanioni i Rugoves.,Peja,Lumbardhi i Pejes,42.6582,20.2823,Natural
Ethnographic Museum of Peja,A traditional kulla house turned museum showing 19th century Kosovar urban life.,Kulle tradicionale e shnderruar ne muze qe paraqet jeten urbane kosovare te shekullit XIX.,Peja,Rruga Mbretereshe Teuta,42.6601,20.2880,Cultural
Hadum Mosque,A 16th century Ottoman mosque inside the Gjakova bazaar restored after the 1999 war.,Xhami osmane e shekullit XVI brenda Carshise se Gjakoves e rindertuar pas luftes se 1999-tes.,Gjakova,Carshia e Madhe,42.3804,20.4307,Historical
Old Bazaar of Gjakova,The largest Ottoman bazaar in Kosovo with over 500 shops in restored stone buildings.,Pazari me i madh osman ne Kosove me mbi 500 dyqane ne ndertesa guri te rikonstruktuara.,Gjakova,Carshia e Madhe,42.3795,20.4309,Cultural
Ethnographic Museum of Gjakova,A restored Ottoman home displaying urban Albanian life from the 19th century.,Shtepi osmane e ristrukturuar qe paraqet jeten urbane shqiptare te shekullit XIX.,Gjakova,Rruga Ismail Qemali,42.3812,20.4316,Cultural
Ibar Bridge,A symbolic bridge over the Ibar river dividing the Albanian south and Serb north of Mitrovica.,Ure simbolike mbi lumin Ibar qe ndan jugun shqiptar dhe veriun serb te Mitrovices.,Mitrovica,Lumi Ibar,42.8918,20.8651,Cultural
Miners Monument on Shahin Hill,A 1973 brutalist monument by Bogdan Bogdanovic honoring miners killed in the Second World War.,Monument brutalist i vitit 1973 nga Bogdan Bogdanoviq ne nder te minatoreve te rene ne Luften e Dyte Boterore.,Mitrovica,Kodra Shahin,42.8941,20.8554,Historical
Trepca Mining Complex,A historic lead and zinc mining complex active in some form since the Roman era.,Kompleks historik minierash te plumbit dhe zinkut aktiv ne nje forme apo tjeter qe nga epoka romake.,Mitrovica,Stantergu,42.9286,20.9095,Historical
Atik Mosque of Gjilan,A late Ottoman mosque in the historic core of Gjilan dating to the 18th century.,Xhami e vone osmane ne berthamen historike te Gjilanit qe daton ne shekullin XVIII.,Gjilan,Sheshi Adem Jashari,42.4633,21.4690,Historical
Llapashtica Waterfalls,A series of waterfalls in the Karadak mountains south of Gjilan reached by a short forest hike.,Seri ujevarash ne malet Karadak ne jug te Gjilanit qe arrihen permes nje ecje te shkurter neper pyll.,Gjilan,Llapashtica e Eperme,42.3525,21.6147,Natural
Coexistence Square of Ferizaj,A square where a mosque and an Orthodox church stand side by side as a symbol of religious coexistence.,Shesh ku nje xhami dhe nje kishe ortodokse qendrojne krah per krah si simbol i bashkejeteses fetare.,Ferizaj,Sheshi Liria,42.3705,21.1554,Cultural
Bifurcation of Nerodime,A rare natural site where the Nerodime river splits into two basins flowing toward different seas.,Vend natyror i rralle ku lumi Nerodime ndahet ne dy pellgje qe rrjedhin drejt deteve te ndryshme.,Ferizaj,Nerodime e Eperme,42.3275,21.0964,Natural
Vushtrri Castle,A medieval Byzantine and Ottoman fortress in the center of Vushtrri.,Fortifikate mesjetare bizantine dhe osmane ne qender te Vushtrrise.,Vushtrri,Qendra e qytetit,42.8230,20.9686,Historical
Stone Bridge of Vushtrri,A nine-arch Ottoman bridge from the 14th century spanning the former bed of the Sitnica river.,Ure osmane me nente harqe e shekullit XIV mbi shtratin e dikurshem te lumit Sitnica.,Vushtrri,Rruga Mbreti Pirro,42.8228,20.9712,Historical
Adem Jashari Memorial Complex,A national memorial in Prekaz honoring the family of KLA commander Adem Jashari killed in 1998.,Memoriali kombetar ne Prekaz ne nder te familjes se komandantit te UCK-se Adem Jashari te rene ne 1998.,Skenderaj,Prekaz i Poshtem,42.7397,20.8456,Historical
Drenica Valley,The historic rural heartland of the Drenica region dotted with stone kulla tower houses.,Krahina rurale historike e Drenices e shenjuar nga kullat e gurta tradicionale.,Skenderaj,Lugina e Drenices,42.7458,20.7892,Cultural
Mirusha Waterfalls,A protected cascade of thirteen waterfalls and emerald pools carved into the Mirusha canyon.,Kaskade e mbrojtur me trembedhjete ujevara dhe pellgje smeraldi te gdhendura ne Kanionin e Mirushes.,Skenderaj,Lugina e Mirushes,42.5497,20.6650,Natural
